No.,n[%],SHR,Vp [m/s],Is(50) [Mpa],UCS [Mpa],Rock-type
1,0.44,38.00,6450,2.87,132.21,Li
2,0.15,52.00,6148,3.89,166.30,Sa
3,0.23,46.00,5920,1.82,215.21,Sa
4,0.47,44.00,4780,2.40,120.90,Gr
5,0.15,57.00,6102,4.56,143.21,Li
6,0.40,56.00,5020,3.01,77.300,Sc
7,0.20,52.00,6910,7.10,114.54,Sa
8,0.42,47.00,5025,1.73,130.33,Sa
9,0.37,49.00,4910,3.79,103.23,Gr
10,0.40,47.00,4670,3.34,92.120,Li
11,0.41,45.00,6190,3.14,150.05,Sa
12,0.40,48.00,4568,2.45,81.050,Cl
13,0.43,57.00,5785,1.98,112.32,Li
14,0.15,57.00,7002,4.97,163.30,Li
15,0.43,45.00,7310,1.45,209.00,Sa
16,0.37,49.00,6635,2.02,200.23,Li
17,0.44,50.00,7608,2.51,185.21,Sa
18,0.40,53.00,6080,3.23,149.05,Sa
19,0.42,58.00,6620,3.21,155.90,Sa
20,0.39,46.00,4432,2.89,83.950,Sc
21,0.45,50.00,4922,2.44,84.090,Tr
22,0.43,54.00,5380,3.49,95.000,Gr
23,0.19,57.00,7433,5.23,155.67,Sa
24,0.39,46.00,5545,4.11,122.38,Li
25,0.44,42.00,4955,3.21,120.02,Tr
26,0.10,60.00,7850,6.12,155.32,Gr
27,0.22,49.00,5988,4.92,140.43,Li
28,0.36,48.00,4615,3.34,92.100,Cl
29,0.12,61.00,7943,6.54,154.30,Sc
30,0.11,56.00,5980,5.86,140.32,Li
31,0.28,59.00,6005,4.78,120.00,Gr
32,0.30,53.00,6125,2.25,176.40,Sa
33,0.18,51.00,6555,3.13,190.32,Gr
34,0.29,45.00,6120,4.15,144.00,Tr
35,0.18,58.00,6895,5.29,154.30,Li
36,0.19,56.00,6615,5.38,148.00,Sa
37,0.20,58.00,6709,4.33,160.00,Sa
38,0.28,51.00,6301,5.02,141.70,Sc
39,0.30,57.00,6150,3.22,143.90,Gr
40,0.51,40.00,2823,1.02,35.000,Ma
41,0.56,37.00,3065,0.91,42.000,Ma
42,0.54,43.00,4635,1.39,113.90,Do
43,0.06,65.38,6214,11.3,158.02,Sa
44,0.14,61.80,5729,9.23,144.20,Tr
45,0.22,57.64,6030,9.72,132.45,Li
46,0.40,52.92,5384,5.66,112.40,Do
47,0.48,52.00,5643,2.75,122.00,Sa
48,0.25,58.00,6080,5.21,130.20,Do
49,0.31,55.00,4978,3.72,93.800,Sc
50,0.52,38.00,3268,0.89,48.080,Ma
51,0.47,51.00,4530,2.43,62.100,Ma
52,2.11,26.13,5540,2.73,30.600,Sl
53,3.48,27.63,5670,2.98,24.320,Cl
54,0.46,46.30,5445,3.48,125.00,Li
55,0.50,31.66,5685,2.45,100.09,Sa
56,0.43,49.14,5882,2.96,151.30,Sa
57,16.8,32.08,4574,6.48,73.020,Tr
58,0.870,32.40,6112,7.23,50.340,Sa
59,0.320,54.00,6790,5.59,135.09,Li
60,0.370,52.00,6503,3.12,170.94,Gr
61,0.330,56.00,5040,4.65,92.320,Sa
62,0.220,49.00,6430,2.99,195.00,Sa
63,0.470,51.00,5715,4.88,111.00,Sc
64,0.570,40.00,4233,1.21,95.870,Cl
65,0.250,56.70,5491,6.93,125.00,Li
66,0.280,60.48,5566,6.92,117.45,Do
67,0.280,45.36,6188,3.58,155.36,Sa
68,0.320,35.67,6024,3.24,114.23,Sa
69,0.700,44.18,6190,8.90,83.430,Sl
70,1.780,42.00,5052,8.78,55.980,Cl
71,14.30,30.98,4188,2.92,37.670,Ma
72,0.250,45.00,5950,3.12,175.43,Sa
73,0.420,52.00,6848,3.56,152.30,Li
74,0.490,49.00,5270,3.89,99.000,Tr
75,3.840,55.95,4441,8.38,80.000,Sc
76,8.350,49.14,4219,6.21,60.550,Sl
77,6.100,31.47,5521,7.79,44.780,Li
78,1.730,42.29,5875,3.63,30.560,Ma
79,3.100,31.31,5445,6.56,35.460,Ma
80,2.890,51.79,4672,6.75,58.980,Sl
81,14.50,30.89,2725,1.98,17.330,Li
82,15.30,25.89,2786,1.33,12.010,Cl
83,3.080,58.59,4624,9.08,80.870,Sc
84,10.90,41.09,3169,3.70,39.240,Li
85,4.520,54.18,4522,9.59,89.540,Cl
86,0.390,47.00,5506,2.31,155.00,Sa
87,0.160,51.00,5217,6.22,125.00,Sa
88,0.460,50.00,5345,1.93,125.00,Sa
89,0.360,43.00,4320,1.41,116.00,Li
90,9.350,27.38,5380,2.86,37.480,Sa
91,9.640,27.63,4820,2.54,38.190,Ma
92,2.930,26.75,5670,2.26,25.670,Cl
93,9.510,30.50,5050,2.63,32.950,Ma
94,8.980,27.63,5090,3.32,38.340,Li
95,3.490,27.38,5790,3.02,25.370,Ma
96,0.150,66.51,6047,9.92,138.00,Sa
97,0.350,55.76,5428,7.85,115.00,Gr
98,14.75,42.51,2830,2.57,27.610,Ma
99,8.720,51.03,3474,4.36,66.900,Sl
100,0.470,35.52,6419,2.12,140.30,Li
101,4.820,36.60,5154,6.89,45.000,Cl
102,3.830,29.31,4865,1.00,32.100,Ma
103,9.740,27.02,4149,5.44,51.200,Sa
104,1.540,34.96,5980,0.86,69.700,Sl
105,0.800,44.09,6768,5.90,52.100,Cl
106,0.800,34.21,6052,7.03,61.870,Sl
107,10.10,25.46,2977,2.24,35.610,Ma
108,8.390,51.22,3935,5.80,69.200,Tr
109,12.14,35.86,3389,4.50,40.020,Cl
110,10.69,30.32,2795,1.25,18.390,Ma
111,14.67,33.38,2985,2.99,23.450,Sl
112,8.440,52.29,3508,4.47,70.830,Li
113,7.230,46.30,3658,3.31,44.000,Cl
114,14.64,36.05,2994,2.76,25.900,Ma
115,0.40,46.30,5993,3.930,120.30,Li
116,0.25,52.55,6074,4.490,150.32,Li
117,0.40,52.17,5172,4.030,100.00,Cl
118,0.42,43.46,5820,3.170,145.00,Li
119,0.50,37.76,5116,1.520,170.90,Sa
120,0.54,45.36,5675,3.070,128.00,Sc
121,0.53,43.46,5882,3.270,125.00,Li
122,0.20,58.59,6250,7.420,135.21,Sa
123,0.42,41.25,5850,3.470,137.00,Li
124,0.35,54.18,6145,4.850,124.30,Do
125,0.50,33.95,5321,1.150,174.20,Li
126,0.29,46.30,6145,6.060,115.89,Sc
127,0.31,43.08,6043,4.250,140.00,Do
128,0.24,55.76,6179,6.630,132.62,Li
129,0.57,50.00,4490,1.670,52.100,Ma
130,0.55,42.00,4230,1.310,87.540,Cl
131,0.48,39.00,4003,1.020,112.93,Li
132,0.50,46.00,4480,1.330,90.020,Tr
133,0.51,48.00,4108,1.340,59.320,Cl
134,0.47,46.00,5250,2.780,132.02,Gr
135,0.45,48.00,4876,3.230,95.340,Li
136,0.50,37.00,5463,4.230,95.320,Sc
137,0.48,44.00,5520,4.020,110.82,Li
138,0.50,53.00,5109,3.670,80.320,Sc
139,0.51,47.00,4659,2.890,77.680,Sc
140,3.35,27.42,5660,3.000,23.120,Ma
141,8.14,30.13,5090,3.630,37.890,Sc
142,2.24,25.75,5810,3.100,28.330,Cl
143,9.76,27.38,5350,3.390,43.460,Sl
144,4.50,26.00,5590,3.160,24.320,Ma
145,8.32,29.75,5250,4.010,37.650,Sl
146,9.45,29.13,5390,3.740,41.510,Cl
147,9.22,26.88,5230,3.080,35.670,Sc
148,7.42,28.00,5400,3.600,32.350,Ma
149,3.95,26.50,5730,3.020,24.180,Sc
150,6.38,29.63,5100,3.360,35.670,Sc
151,9.28,27.50,5520,3.300,40.130,Ma
152,3.97,27.38,5490,3.520,25.980,Ma
153,4.89,26.63,5420,2.910,25.120,Ma
154,3.78,30.30,5510,3.060,23.110,Cl
155,0.97,25.63,5450,3.890,29.050,Cl
156,7.99,28.63,5020,3.320,35.680,Ma
157,6.66,29.88,4840,2.610,30.130,Ma
158,8.93,29.25,5400,3.260,38.980,Ma
159,9.13,26.25,5190,3.870,39.130,Cl
160,9.29,28.25,5130,3.170,35.660,Ma
161,10.2,28.88,5090,2.920,37.430,Cl
162,0.28,55.38,5865,8.350,122.21,Li
163,0.21,65.38,5836,10.85,135.87,Sa
164,0.15,64.43,5945,10.02,132.21,Sa
165,0.18,65.57,5905,11.73,145.87,Gr
166,0.12,67.07,6250,14.13,180.41,Li
167,0.19,60.48,6030,10.63,148.34,Sa
168,0.22,58.59,5753,8.490,134.76,Sa
169,0.31,58.59,5422,7.870,102.32,Li
170,0.27,57.64,5514,8.410,123.89,Li
