#,ST,LL,PI,S,FA,M,A/B,Na/Al,Si/Al,UCS
1,S1,116,88.46,20,0,4,0.45,0.39,1.49,0.0595
2,S1,116,88.46,16,0,4,0.45,0.39,1.49,0.0616
3,S1,116,88.46,12,0,4,0.45,0.39,1.49,0.0551
4,S1,116,88.46,8,0,4,0.45,0.39,1.49,0.0494
5,S1,116,88.46,4,0,4,0.45,0.39,1.49,0.0484
6,S1,116,88.46,20,0,8,0.45,0.69,1.49,0.1784
7,S1,116,88.46,16,0,8,0.45,0.69,1.49,0.1044
8,S1,116,88.46,12,0,8,0.45,0.69,1.49,0.0542
9,S1,116,88.46,8,0,8,0.45,0.69,1.49,0.0638
10,S1,116,88.46,4,0,8,0.45,0.69,1.49,0.0553
11,S1,116,88.46,20,0,12,0.45,0.93,1.49,1.836
12,S1,116,88.46,16,0,12,0.45,0.93,1.49,1.5198
13,S1,116,88.46,12,0,12,0.45,0.93,1.49,0.442
14,S1,116,88.46,8,0,12,0.45,0.93,1.49,0.0738
15,S1,116,88.46,4,0,12,0.45,0.93,1.49,0.0557
16,S1,116,88.46,20,0,12,0.65,1.34,1.49,3.8335
17,S1,116,88.46,16,0,12,0.65,1.34,1.49,2.5293
18,S1,116,88.46,12,0,12,0.65,1.34,1.49,1.5138
19,S1,116,88.46,8,0,12,0.65,1.34,1.49,0.4841
20,S1,116,88.46,4,0,12,0.65,1.34,1.49,0
21,S1,116,88.46,20,0,12,0.85,1.75,1.49,4.0932
22,S1,116,88.46,16,0,12,0.85,1.75,1.49,3.0047
23,S1,116,88.46,12,0,12,0.85,1.75,1.49,1.2701
24,S1,116,88.46,8,0,12,0.85,1.75,1.49,0.5495
25,S1,116,88.46,4,0,12,0.85,1.75,1.49,0.3633
26,S1,116,88.46,20,0,15,0.45,1.05,1.49,3.7829
27,S1,116,88.46,16,0,15,0.45,1.05,1.49,2.4024
28,S1,116,88.46,12,0,15,0.45,1.05,1.49,1.2396
29,S1,116,88.46,8,0,15,0.45,1.05,1.49,0.2017
30,S1,116,88.46,4,0,15,0.45,1.05,1.49,0.064
31,S1,116,88.46,20,0,15,0.65,1.52,1.49,4.7478
32,S1,116,88.46,16,0,15,0.65,1.52,1.49,3.1467
33,S1,116,88.46,12,0,15,0.65,1.52,1.49,1.6606
34,S1,116,88.46,8,0,15,0.65,1.52,1.49,0.5452
35,S2,116,88.46,4,0,15,0.65,1.52,1.49,0.0513
36,S2,116,88.46,20,0,15,0.85,1.98,1.49,3.1376
37,S2,116,88.46,16,0,15,0.85,1.98,1.49,2.6131
38,S2,116,88.46,12,0,15,0.85,1.98,1.49,1.4259
39,S2,116,88.46,8,0,15,0.85,1.98,1.49,0.635
40,S2,116,88.46,4,0,15,0.85,1.98,1.49,0.0656
41,S2,82,56.46,20,0,4,0.45,0.39,1.49,0.0575
42,S2,82,56.46,16,0,4,0.45,0.39,1.49,0.0568
43,S2,82,56.46,12,0,4,0.45,0.39,1.49,0.0617
44,S2,82,56.46,8,0,4,0.45,0.39,1.49,0.0724
45,S2,82,56.46,4,0,4,0.45,0.39,1.49,0.0761
46,S2,82,56.46,20,0,8,0.45,0.69,1.49,2.6153
47,S2,82,56.46,16,0,8,0.45,0.69,1.49,0.7228
48,S2,82,56.46,12,0,8,0.45,0.69,1.49,0.081
49,S2,82,56.46,8,0,8,0.45,0.69,1.49,0.0815
50,S2,82,56.46,4,0,8,0.45,0.69,1.49,0.0611
51,S2,82,56.46,20,0,12,0.45,0.93,1.49,4.7157
52,S2,82,56.46,16,0,12,0.45,0.93,1.49,0.9838
53,S2,82,56.46,12,0,12,0.45,0.93,1.49,0.1699
54,S2,82,56.46,8,0,12,0.45,0.93,1.49,0.092
55,S2,82,56.46,4,0,12,0.45,0.93,1.49,0.1138
56,S2,82,56.46,20,0,12,0.65,1.34,1.49,6.3339
57,S2,82,56.46,16,0,12,0.65,1.34,1.49,5.499
58,S2,82,56.46,12,0,12,0.65,1.34,1.49,2.9055
59,S2,82,56.46,8,0,12,0.65,1.34,1.49,0.3208
60,S2,82,56.46,4,0,12,0.65,1.34,1.49,0.1083
61,S2,82,56.46,20,0,12,0.85,1.75,1.49,6.5492
62,S2,82,56.46,16,0,12,0.85,1.75,1.49,5.612
63,S2,82,56.46,12,0,12,0.85,1.75,1.49,4.5196
64,S2,82,56.46,8,0,12,0.85,1.75,1.49,1.0488
65,S2,82,56.46,4,0,12,0.85,1.75,1.49,0.0826
66,S2,82,56.46,20,0,15,0.45,1.05,1.49,6.9624
67,S2,82,56.46,16,0,15,0.45,1.05,1.49,4.4171
68,S2,82,56.46,12,0,15,0.45,1.05,1.49,1.0497
69,S2,82,56.46,8,0,15,0.45,1.05,1.49,0.1081
70,S2,82,56.46,4,0,15,0.45,1.05,1.49,0.0969
71,S2,82,56.46,20,0,15,0.65,1.52,1.49,7.8573
72,S2,82,56.46,16,0,15,0.65,1.52,1.49,6.0593
73,S2,82,56.46,12,0,15,0.65,1.52,1.49,3.5162
74,S2,82,56.46,8,0,15,0.65,1.52,1.49,0.3799
75,S2,82,56.46,4,0,15,0.65,1.52,1.49,0.1194
76,S2,82,56.46,20,0,15,0.85,1.98,1.49,6.9127
77,S2,82,56.46,16,0,15,0.85,1.98,1.49,5.7791
78,S2,82,56.46,12,0,15,0.85,1.98,1.49,4.3611
79,S2,82,56.46,8,0,15,0.85,1.98,1.49,1.9891
80,S2,82,56.46,4,0,15,0.85,1.98,1.49,0.0786
81,S3,38,14.07,20,0,4,0.45,0.39,1.49,0.0724
82,S3,38,14.07,16,0,4,0.45,0.39,1.49,0.0778
83,S3,38,14.07,12,0,4,0.45,0.39,1.49,0.0713
84,S3,38,14.07,8,0,4,0.45,0.39,1.49,0.0445
85,S3,38,14.07,4,0,4,0.45,0.39,1.49,0.0301
86,S3,38,14.07,20,0,8,0.45,0.69,1.49,0.2017
87,S3,38,14.07,16,0,8,0.45,0.69,1.49,0.1687
88,S3,38,14.07,12,0,8,0.45,0.69,1.49,0.1089
89,S3,38,14.07,8,0,8,0.45,0.69,1.49,0.0869
90,S3,38,14.07,4,0,8,0.45,0.69,1.49,0.0985
91,S3,38,14.07,20,0,12,0.45,0.93,1.49,10.089
92,S3,38,14.07,16,0,12,0.45,0.93,1.49,5.8037
93,S3,38,14.07,12,0,12,0.45,0.93,1.49,0.1173
94,S3,38,14.07,8,0,12,0.45,0.93,1.49,0.0676
95,S3,38,14.07,4,0,12,0.45,0.93,1.49,0.1071
96,S3,38,14.07,20,0,12,0.65,1.34,1.49,10.786
97,S3,38,14.07,16,0,12,0.65,1.34,1.49,9.5833
98,S3,38,14.07,12,0,12,0.65,1.34,1.49,2.5673
99,S3,38,14.07,8,0,12,0.65,1.34,1.49,0.0693
100,S3,38,14.07,4,0,12,0.65,1.34,1.49,0.0257
101,S3,38,14.07,20,0,12,0.85,1.75,1.49,10.042
102,S3,38,14.07,16,0,12,0.85,1.75,1.49,9.6476
103,S3,38,14.07,12,0,12,0.85,1.75,1.49,8.2621
104,S3,38,14.07,8,0,12,0.85,1.75,1.49,0.1486
105,S3,38,14.07,4,0,12,0.85,1.75,1.49,0.0337
106,S3,38,14.07,20,0,15,0.45,1.05,1.49,10.809
107,S3,38,14.07,16,0,15,0.45,1.05,1.49,9.8781
108,S3,38,14.07,12,0,15,0.45,1.05,1.49,0.2692
109,S3,38,14.07,8,0,15,0.45,1.05,1.49,0.1788
110,S3,38,14.07,4,0,15,0.45,1.05,1.49,0.0567
111,S3,38,14.07,20,0,15,0.65,1.52,1.49,11.033
112,S3,38,14.07,16,0,15,0.65,1.52,1.49,8.187
113,S3,38,14.07,12,0,15,0.65,1.52,1.49,3.5342
114,S3,38,14.07,8,0,15,0.65,1.52,1.49,0.099
115,S3,38,14.07,4,0,15,0.65,1.52,1.49,0.0382
116,S3,38,14.07,20,0,15,0.85,1.98,1.49,8.6611
117,S3,38,14.07,16,0,15,0.85,1.98,1.49,7.9992
118,S3,38,14.07,12,0,15,0.85,1.98,1.49,7.754
119,S3,38,14.07,8,0,15,0.85,1.98,1.49,1.2167
120,S3,38,14.07,4,0,15,0.85,1.98,1.49,0.0708
121,S3,38,14.07,0,20,12,0.45,0.82,2.49,0.1174
122,S3,38,14.07,0,16,12,0.45,0.82,2.49,0.1099
123,S3,38,14.07,0,12,12,0.45,0.82,2.49,0.0849
124,S3,38,14.07,0,8,12,0.45,0.82,2.49,0.0169
125,S3,38,14.07,0,4,12,0.45,0.82,2.49,0
126,S3,38,14.07,0,20,12,0.65,1.18,2.49,0.2107
127,S3,38,14.07,0,16,12,0.65,1.18,2.49,0.197
