No,D,We,Cc,Cp,S,Mc,T,Ac,Di,L,A,V,M,De,qu
1.0,2.0,1.93,1.0,7.0,1.0,1.9,1.0,150.0,5.0,10.0,19.63,196.35,379.8,1.93,1707.95
2.0,2.0,1.93,2.0,7.0,1.0,1.93,2.0,200.0,5.0,10.0,19.37,193.74,342.2,1.77,4018.33
3.0,4.0,1.72,2.0,28.0,2.0,1.72,3.0,200.0,5.0,10.0,19.48,194.78,278.0,1.43,2336.29
4.0,2.0,1.93,1.0,28.0,1.0,1.96,1.0,100.0,5.0,10.0,19.63,196.35,381.4,1.94,1836.64
5.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,150.0,5.0,10.0,19.32,193.22,309.0,1.6,1383.56
6.0,2.0,1.93,1.0,7.0,1.0,1.93,1.0,200.0,5.0,10.0,19.63,196.35,377.2,1.92,1976.48
7.0,4.0,1.76,2.0,28.0,3.0,1.76,2.0,200.0,5.0,10.0,19.45,194.52,274.2,1.41,3147.3
8.0,2.0,1.93,2.0,28.0,1.0,1.9,2.0,200.0,4.9,10.0,19.17,191.67,324.2,1.69,4922.67
9.0,2.0,1.93,1.0,7.0,1.0,1.96,2.0,100.0,5.0,10.0,19.63,196.35,375.2,1.91,791.39
10.0,2.0,1.93,2.0,28.0,1.0,1.96,3.0,100.0,4.9,10.0,19.01,190.12,300.0,1.58,1118.24
11.0,4.0,1.72,2.0,7.0,2.0,1.72,3.0,200.0,5.0,10.0,19.58,195.83,313.6,1.6,1475.3
12.0,4.0,1.76,1.0,28.0,3.0,1.76,1.0,150.0,5.0,10.0,19.63,196.35,349.2,1.78,1363.25
13.0,4.0,1.72,1.0,7.0,2.0,1.72,1.0,150.0,5.0,10.0,19.63,196.35,346.4,1.76,805.39
14.0,2.0,1.93,1.0,7.0,1.0,1.93,2.0,150.0,5.0,10.0,19.63,196.35,375.4,1.91,1422.7
15.0,2.0,1.93,1.0,28.0,1.0,1.9,3.0,100.0,5.0,10.0,19.63,196.35,379.0,1.93,695.1
16.0,2.0,1.93,1.0,28.0,1.0,1.93,3.0,100.0,5.0,10.0,19.63,196.35,380.4,1.94,755.31
17.0,2.0,1.93,1.0,7.0,1.0,1.9,2.0,100.0,5.0,10.0,19.63,196.35,379.0,1.93,1158.82
18.0,2.0,1.93,2.0,7.0,1.0,1.96,3.0,100.0,5.0,10.0,19.48,194.78,331.0,1.7,1289.44
19.0,4.0,1.72,1.0,28.0,2.0,1.72,2.0,100.0,5.0,10.0,19.63,196.35,354.6,1.81,449.55
20.0,2.0,1.93,1.0,7.0,1.0,1.9,2.0,150.0,5.0,10.0,19.63,196.35,382.4,1.95,1799.0
21.0,4.0,1.72,1.0,28.0,2.0,1.72,1.0,150.0,5.0,10.0,19.63,196.35,355.8,1.81,1105.88
22.0,2.0,1.93,2.0,7.0,1.0,1.93,1.0,200.0,5.0,10.0,19.43,194.26,346.0,1.78,4099.15
23.0,2.0,1.93,1.0,28.0,1.0,1.96,1.0,200.0,5.0,10.0,19.63,196.35,379.6,1.93,2596.24
24.0,2.0,1.93,1.0,28.0,1.0,1.93,2.0,200.0,5.0,10.0,19.63,196.35,382.4,1.95,2619.07
25.0,4.0,1.72,2.0,7.0,2.0,1.72,1.0,100.0,4.9,10.0,19.17,191.67,311.4,1.62,900.82
26.0,4.0,1.76,2.0,28.0,3.0,1.76,2.0,150.0,5.0,10.0,19.32,193.22,267.8,1.39,2238.02
27.0,2.0,1.93,1.0,28.0,1.0,1.9,2.0,150.0,5.0,10.0,19.63,196.35,382.8,1.95,2734.99
28.0,4.0,1.76,1.0,7.0,3.0,1.76,1.0,100.0,5.0,10.0,19.45,194.52,333.8,1.72,498.2
29.0,4.0,1.76,2.0,7.0,3.0,1.76,3.0,150.0,5.0,10.0,19.43,194.26,310.4,1.6,1995.69
30.0,2.0,1.93,1.0,28.0,1.0,1.9,2.0,100.0,5.0,10.0,19.63,196.35,378.2,1.93,1883.47
31.0,2.0,1.93,1.0,28.0,1.0,1.96,3.0,100.0,5.0,10.0,19.63,196.35,376.2,1.92,499.66
