Specimen,Cc,Cw,Tc,UCS,Tp,Tt 
C06W50T07,0.06,0.5,7,186.43,53.77,6.18
C06W50T14,0.06,0.5,14,182.38,53.23,18.55
C06W50T28,0.06,0.5,28,219.86,70.58,5.72
C06W50T42,0.06,0.5,42,304.08,72.47,19.89
C06W50T60,0.06,0.5,60,337.41,79.31,24.64
C06W50T90,0.06,0.5,90,358.5,92.08,33.25
C06W60T07,0.06,0.6,7,43.51,15.75,3.32
C06W60T14,0.06,0.6,14,54.54,7.39,2.56
C06W60T28,0.06,0.6,28,68.76,13.54,4.7
C06W60T42,0.06,0.6,42,108.82,49.09,10.33
C06W60T60,0.06,0.6,60,150.14,49.88,12.61
C06W60T90,0.06,0.6,90,268.37,46.06,13.9
C06W70T07,0.06,0.7,7,54.29,7.02,2.34
C06W70T14,0.06,0.7,14,70.8,9.95,2.49
C06W70T28,0.06,0.7,28,83.4,9.95,2.05
C06W70T42,0.06,0.7,42,130.82,30.95,7.46
C06W70T60,0.06,0.7,60,140.35,34.44,10.99
C06W70T90,0.06,0.7,90,169.46,46.63,13.68
C06W80T07,0.06,0.8,7,41.88,10.53,3.22
C06W80T14,0.06,0.8,14,52.65,3,1.36
C06W80T28,0.06,0.8,28,58.45,4.61,1.15
C06W80T42,0.06,0.8,42,61.46,12.39,0.98
C06W80T60,0.06,0.8,60,73.91,16.1,3.47
C06W80T90,0.06,0.8,90,86.26,13.36,3.56
C06W90T07,0.06,0.9,7,31.18,3.46,0.29
C06W90T14,0.06,0.9,14,52.87,28.18,8.57
C06W90T28,0.06,0.9,28,62.24,27.52,4.97
C06W90T42,0.06,0.9,42,120.39,28.77,4.9
C06W90T60,0.06,0.9,60,122.31,57.09,15.86
C06W90T90,0.06,0.9,90,136.26,41.84,8.48
C12W50T07,0.12,0.5,7,933.88,386.33,54.84
C12W50T14,0.12,0.5,14,1209.18,463.54,77.87
C12W50T28,0.12,0.5,28,1468.98,647.42,175.64
C12W50T42,0.12,0.5,42,1692.52,755.99,170.52
C12W50T60,0.12,0.5,60,1868.03,589.84,116.95
C12W50T90,0.12,0.5,90,2003.61,889.72,298.42
C12W60T07,0.12,0.6,7,623.95,265.83,60.55
C12W60T14,0.12,0.6,14,835.46,277.12,44.27
C12W60T28,0.12,0.6,28,967.62,314.72,58.58
C12W60T42,0.12,0.6,42,933.33,328.26,73.22
C12W60T60,0.12,0.6,60,934,505.89,130.73
C12W60T90,0.12,0.6,90,1055.1,384.18,54.31
C12W70T07,0.12,0.7,7,354.08,77.13,21.73
C12W70T14,0.12,0.7,14,535.05,79.88,9.18
C12W70T28,0.12,0.7,28,577.55,105.62,11.41
C12W70T42,0.12,0.7,42,644.56,244.34,51.56
C12W70T60,0.12,0.7,60,668.03,273.12,61.39
C12W70T90,0.12,0.7,90,816.46,277.08,91.11
C12W80T07,0.12,0.8,7,209.93,29.7,2.88
C12W80T14,0.12,0.8,14,376.05,40.58,11.14
C12W80T28,0.12,0.8,28,384.45,48.03,7.11
C12W80T42,0.12,0.8,42,421.43,132.74,15.33
C12W80T60,0.12,0.8,60,432.93,127.68,20.79
C12W80T90,0.12,0.8,90,477.01,144.09,24.16
C12W90T07,0.12,0.9,7,161.77,32.39,9.95
C12W90T14,0.12,0.9,14,260.76,87.47,13.26
C12W90T28,0.12,0.9,28,324.08,110.92,20.17
C12W90T42,0.12,0.9,42,410.78,172.23,19.04
C12W90T60,0.12,0.9,60,429.24,171.31,11.33
C12W90T90,0.12,0.9,90,469.25,126.67,20.9
C18W50T07,0.18,0.5,7,2469.45,684.58,129.45
C18W50T14,0.18,0.5,14,2580.66,1504.34,280.7
C18W50T28,0.18,0.5,28,3431.97,2026.57,480.12
C18W50T42,0.18,0.5,42,4075.51,2131.92,424.77
C18W50T60,0.18,0.5,60,4432.27,2152.95,476.92
C18W50T90,0.18,0.5,90,4931.29,2347,475.85
C18W60T07,0.18,0.6,7,1546.43,498.76,221.36
C18W60T14,0.18,0.6,14,2085.78,653.6,106.1
C18W60T28,0.18,0.6,28,2291.43,1174.05,218.56
C18W60T42,0.18,0.6,42,2548.09,1649.57,140.92
C18W60T60,0.18,0.6,60,2878.23,1530.54,331.57
C18W60T90,0.18,0.6,90,3098.16,1691.02,312.63
C18W70T07,0.18,0.7,7,898.78,294.6,26.16
C18W70T14,0.18,0.7,14,1157.21,347.57,64.95
C18W70T28,0.18,0.7,28,1243.2,399.04,83.61
C18W70T42,0.18,0.7,42,1506.12,491.96,87.54
C18W70T60,0.18,0.7,60,1802.99,532.03,93.5
C18W70T90,0.18,0.7,90,1983.95,599.07,63.61
C18W80T07,0.18,0.8,7,505.65,68.49,19.04
C18W80T14,0.18,0.8,14,744.76,177.9,14.99
C18W80T28,0.18,0.8,28,776.53,143.42,19.3
C18W80T42,0.18,0.8,42,936.05,306.7,91.85
C18W80T60,0.18,0.8,60,1039.52,323.36,65.05
C18W80T90,0.18,0.8,90,1142.72,329.27,61.41
C18W90T07,0.18,0.9,7,421.02,183.89,38.44
C18W90T14,0.18,0.9,14,586.75,234.27,67.23
C18W90T28,0.18,0.9,28,763.88,281.17,32.83
C18W90T42,0.18,0.9,42,863.06,326.27,30.41
C18W90T60,0.18,0.9,60,969.22,303.74,29.7
C18W90T90,0.18,0.9,90,1083.4,335.28,48.86
C24W50T07,0.24,0.5,7,4176.33,1768.69,427.87
C24W50T14,0.24,0.5,14,4666.67,2317.43,623.72
C24W50T28,0.24,0.5,28,4770.39,2713.37,201.71
C24W50T42,0.24,0.5,42,5817.69,3532.53,278.01
C24W50T60,0.24,0.5,60,5979.59,2785.21,440.9
C24W50T90,0.24,0.5,90,6197.96,3541.76,616.45
C24W60T07,0.24,0.6,7,2585.33,1174.05,372.67
C24W60T14,0.24,0.6,14,3297.28,1646.52,280.09
C24W60T28,0.24,0.6,28,3708.16,2110.42,491.98
C24W60T42,0.24,0.6,42,4948.98,2628.9,460.41
C24W60T60,0.24,0.6,60,5272.79,2883.32,540.31
C24W60T90,0.24,0.6,90,5212.24,2868.55,610.27
C24W70T07,0.24,0.7,7,1654.22,494.43,160.91
C24W70T14,0.24,0.7,14,2319.09,753.74,140.1
C24W70T28,0.24,0.7,28,2383.27,965.03,222.7
C24W70T42,0.24,0.7,42,2837.41,1480.38,365.71
C24W70T60,0.24,0.7,60,3353.06,1571.07,275.01
C24W70T90,0.24,0.7,90,3478.23,1605.97,242.19
C24W80T07,0.24,0.8,7,822.31,192.02,45.56
C24W80T14,0.24,0.8,14,1228.3,213.72,55.99
C24W80T28,0.24,0.8,28,1309.97,323.51,75.9
C24W80T42,0.24,0.8,42,1983.67,683.24,119.07
C24W80T60,0.24,0.8,60,2425.65,857.21,160.91
C24W80T90,0.24,0.8,90,2448.98,1187.54,168.34
C24W90T07,0.24,0.9,7,781.36,192.74,53.48
C24W90T14,0.24,0.9,14,1059.83,363.78,51.73
C24W90T28,0.24,0.9,28,1305.1,439.46,32.37
C24W90T42,0.24,0.9,42,1607.55,520.62,127.63
C24W90T60,0.24,0.9,60,1734.35,577.49,77.37
C24W90T90,0.24,0.9,90,1891.84,597.72,59.68
C30W50T07,0.3,0.5,7,4715.9,1804.11,438.98
C30W50T14,0.3,0.5,14,6657.82,3014.98,271.8
C30W50T28,0.3,0.5,28,7695.24,3992.32,204.32
C30W50T42,0.3,0.5,42,7916.33,4303.62,687.53
C30W50T60,0.3,0.5,60,9260.82,4332.55,898.01
C30W50T90,0.3,0.5,90,10255.1,5363.07,1109.6
C30W60T07,0.3,0.6,7,4104.9,1614.29,588.3
C30W60T14,0.3,0.6,14,5389.29,2226.53,365.18
C30W60T28,0.3,0.6,28,5980.95,3221.78,679.72
C30W60T42,0.3,0.6,42,7687.07,4312.24,986.65
C30W60T60,0.3,0.6,60,7782.31,4358.19,886.65
C30W60T90,0.3,0.6,90,9115.65,4063.76,782.51
C30W70T07,0.3,0.7,7,2621.32,1010.63,190.99
C30W70T14,0.3,0.7,14,3689.12,1432.39,397.89
C30W70T28,0.3,0.7,28,3732.65,1599.84,339.86
C30W70T42,0.3,0.7,42,4969.39,2541.44,459.53
